file,channel,date,video_id,theme,mentions,mentions_per_1k,first_timestamp,substantial
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,valuation_bubble,3,0.6839945280437756,23:31,False
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,liquidity_rates,3,0.6839945280437756,1:50,False
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,china_deglobalization,20,4.559963520291838,11:27,True
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,rotation_manufacturing,4,0.9119927040583675,19:15,False
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,crypto,1,0.22799817601459188,3:24,False
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,digital_control,0,0.0,,False
jikh_2026-05-04_HcjbJvpKZIU.txt,jikh,2026-05-04,HcjbJvpKZIU,housing,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,oil_energy,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,inflation,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,recession_labor,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,debt_credit,17,3.377036154151768,10:17,True
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,dollar_fx,11,2.1851410409217324,6:31,True
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,gold_silver,1,0.1986491855383393,1:55,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,ai_tech,12,2.3837902264600714,0:36,True
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,valuation_bubble,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,liquidity_rates,0,0.0,,False
jikh_2026-05-15_yNHYpCLBffw.txt,jikh,2026-05-15,yNHYpCLBffw,china_deglobalization,1,0.1986491855383393,13:30,False
