file,channel,date,start_sec,words,pitch_mentions,certainty,hedge,urgency,correction,oil_energy,inflation,recession_labor,debt_credit,dollar_fx,gold_silver,ai_tech,valuation_bubble,liquidity_rates,china_deglobalization,rotation_manufacturing,crypto,digital_control,housing
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,60,194,0,1,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,120,201,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,180,191,0,0,1,0,0,3,0,4,0,1,0,0,0,3,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,240,213,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,300,206,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,360,208,0,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,420,203,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,2,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,480,192,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,540,199,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-04-27_PN8bHAr0f1M.txt,bravos,2026-04-27,600,203,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,0,199,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,60,193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,120,204,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,180,182,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,240,189,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,300,190,0,1,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,360,192,0,0,0,2,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,420,198,0,0,2,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,480,190,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bravos_2026-05-01_YUwjueXzffE.txt,bravos,2026-05-01,540,122,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,0,175,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,60,178,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,120,193,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,180,177,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,240,185,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,300,181,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,360,181,0,3,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
bravos_2026-05-07_opuHyONlqjY.txt,bravos,2026-05-07,420,118,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,0,175,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,60,200,0,0,2,1,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,120,188,0,1,1,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,180,191,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,240,195,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,300,196,0,2,2,1,0,4,4,1,0,0,0,0,0,6,0,0,0,0,2
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,360,187,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,420,186,0,0,4,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,480,162,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bravos_2026-05-11_ZyC3GRY5e1M.txt,bravos,2026-05-11,540,157,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravos_2026-05-13_HUSPFNHI6PY.txt,bravos,2026-05-13,0,179,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
bravos_2026-05-13_HUSPFNHI6PY.txt,bravos,2026-05-13,60,178,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
bravos_2026-05-13_HUSPFNHI6PY.txt,bravos,2026-05-13,120,178,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
