specification,date,horizon_years,asset,nominal_cumulative_pct,real_cumulative_pct,endpoint,return_kind
expanding_primary,2017-10-31,1,sector_Chems,-3.0069674441820182,-5.3652950203694765,2018-10,total return
expanding_primary,2017-10-31,1,sector_BusEq,11.946135181303097,9.224231858054143,2018-10,total return
expanding_primary,2017-10-31,1,sector_Telcm,11.749184720762408,9.032070130167714,2018-10,total return
expanding_primary,2017-10-31,1,sector_Utils,0.41736461032173544,-2.0242235517177076,2018-10,total return
expanding_primary,2017-10-31,1,sector_Shops,23.690959943972633,20.683488231062764,2018-10,total return
expanding_primary,2017-10-31,1,sector_Hlth,9.719314605571917,7.051555092786321,2018-10,total return
expanding_primary,2017-10-31,1,sector_Money,4.048315336373398,1.5184427790595034,2018-10,total return
expanding_primary,2017-10-31,1,sector_Other,2.899030077571907,0.3971017039515967,2018-10,total return
expanding_primary,2017-10-31,1,Gold_spot_price,-5.078125000000011,-7.3860936189530495,2018-10,spot price (monthly-average marks)
expanding_primary,2017-10-31,3,US_market_total,36.4587912373634,29.280943180121245,2020-10,total return
expanding_primary,2017-10-31,3,T_bill_total,4.609483448146601,-0.8930640295844672,2020-10,total return
expanding_primary,2017-10-31,3,sector_NoDur,7.213487183594269,1.5739669026890724,2020-10,total return
expanding_primary,2017-10-31,3,sector_Durbl,78.12686691508743,68.75724276676061,2020-10,total return
expanding_primary,2017-10-31,3,sector_Manuf,9.056983404326434,3.320493659991808,2020-10,total return
expanding_primary,2017-10-31,3,sector_Enrgy,-52.57651156287331,-55.07102724236492,2020-10,total return
expanding_primary,2017-10-31,3,sector_Chems,28.499459125791194,21.740278682529436,2020-10,total return
expanding_primary,2017-10-31,3,sector_BusEq,82.73012707081138,73.11836753739038,2020-10,total return
expanding_primary,2017-10-31,3,sector_Telcm,25.769039362980894,19.153481313060226,2020-10,total return
expanding_primary,2017-10-31,3,sector_Utils,14.035895205119564,8.03751048082475,2020-10,total return
expanding_primary,2017-10-31,3,sector_Shops,80.66273046747018,71.15971774734189,2020-10,total return
expanding_primary,2017-10-31,3,sector_Hlth,32.86724910154699,25.87831920419994,2020-10,total return
expanding_primary,2017-10-31,3,sector_Money,3.528442075427707,-1.9172417100002948,2020-10,total return
expanding_primary,2017-10-31,3,sector_Other,22.54017627983602,16.094459164297792,2020-10,total return
expanding_primary,2017-10-31,3,Gold_spot_price,48.437500000000064,40.62956171082408,2020-10,spot price (monthly-average marks)
expanding_primary,2017-10-31,5,US_market_total,61.56313552639179,33.70716077921625,2022-10,total return
expanding_primary,2017-10-31,5,T_bill_total,5.459543488520202,-12.723307263252936,2022-10,total return
expanding_primary,2017-10-31,5,sector_NoDur,36.84914000407677,13.254239003263123,2022-10,total return
expanding_primary,2017-10-31,5,sector_Durbl,162.38575423186506,117.1464060347171,2022-10,total return
expanding_primary,2017-10-31,5,sector_Manuf,37.5387578207586,13.82495607922769,2022-10,total return
expanding_primary,2017-10-31,5,sector_Enrgy,77.22944162580299,46.67235424136105,2022-10,total return
expanding_primary,2017-10-31,5,sector_Chems,37.03961775304339,13.411875452462784,2022-10,total return
expanding_primary,2017-10-31,5,sector_BusEq,95.14726548100431,61.50086909541776,2022-10,total return
expanding_primary,2017-10-31,5,sector_Telcm,13.393225919349439,-6.157513965828077,2022-10,total return
expanding_primary,2017-10-31,5,sector_Utils,37.941195997614145,14.15800771158926,2022-10,total return
expanding_primary,2017-10-31,5,sector_Shops,86.77205636311025,54.56967511705572,2022-10,total return
expanding_primary,2017-10-31,5,sector_Hlth,58.02965090072607,30.782903364828563,2022-10,total return
expanding_primary,2017-10-31,5,sector_Money,53.55800706231819,27.08223984588041,2022-10,total return
expanding_primary,2017-10-31,5,sector_Other,36.92209568854909,13.314616003262024,2022-10,total return
expanding_primary,2017-10-31,5,Gold_spot_price,29.999999999999982,7.585996302100262,2022-10,spot price (monthly-average marks)
expanding_primary,2005-03-31,1,US_market_total,14.406906659503482,10.625807090386186,2006-03,total return
expanding_primary,2005-03-31,1,T_bill_total,3.5255721314592092,0.10409603697933978,2006-03,total return
expanding_primary,2005-03-31,1,sector_NoDur,4.767404822380583,1.3048866860375208,2006-03,total return
expanding_primary,2005-03-31,1,sector_Durbl,0.8006840726811459,-2.530735631273262,2006-03,total return
expanding_primary,2005-03-31,1,sector_Manuf,23.887953740347378,19.79350960070645,2006-03,total return
expanding_primary,2005-03-31,1,sector_Enrgy,20.03285479417485,16.06582003382655,2006-03,total return
expanding_primary,2005-03-31,1,sector_Chems,2.044311684968547,-1.3282093822362229,2006-03,total return
expanding_primary,2005-03-31,1,sector_BusEq,17.511173141824088,13.627478886761303,2006-03,total return
expanding_primary,2005-03-31,1,sector_Telcm,6.880469400760347,3.348115379503369,2006-03,total return
expanding_primary,2005-03-31,1,sector_Utils,11.675955045126884,7.9851122644667205,2006-03,total return
expanding_primary,2005-03-31,1,sector_Shops,12.622566533807177,8.900438646360364,2006-03,total return
expanding_primary,2005-03-31,1,sector_Hlth,9.401186390708105,5.785523745847443,2006-03,total return
expanding_primary,2005-03-31,1,sector_Money,18.41057427071815,14.497155191165124,2006-03,total return
expanding_primary,2005-03-31,1,sector_Other,13.771619006305503,10.01151542372356,2006-03,total return
expanding_primary,2005-03-31,1,Gold_spot_price,28.34101382488474,24.09939794484348,2006-03,spot price (monthly-average marks)
expanding_primary,2005-03-31,3,US_market_total,19.817727868316194,8.39550265812683,2008-03,total return
expanding_primary,2005-03-31,3,T_bill_total,12.950730445985137,2.183136169557587,2008-03,total return
expanding_primary,2005-03-31,3,sector_NoDur,30.053486930842354,17.65548670564099,2008-03,total return
expanding_primary,2005-03-31,3,sector_Durbl,-7.038229498050363,-15.900276020733505,2008-03,total return
expanding_primary,2005-03-31,3,sector_Manuf,46.430364522816944,32.47115639104583,2008-03,total return
expanding_primary,2005-03-31,3,sector_Enrgy,69.25999385475106,53.124436927740845,2008-03,total return
expanding_primary,2005-03-31,3,sector_Chems,35.16565961007316,22.28031591162778,2008-03,total return
expanding_primary,2005-03-31,3,sector_BusEq,20.62421426863621,9.125106701743047,2008-03,total return
expanding_primary,2005-03-31,3,sector_Telcm,16.603236879710014,5.4874491279937265,2008-03,total return
expanding_primary,2005-03-31,3,sector_Utils,46.13727404335035,32.206006229952735,2008-03,total return
expanding_primary,2005-03-31,3,sector_Shops,9.451082659772304,-0.9828901577806692,2008-03,total return
expanding_primary,2005-03-31,3,sector_Hlth,11.28261617201105,0.6740432462020385,2008-03,total return
expanding_primary,2005-03-31,3,sector_Money,-4.28484831060596,-13.409374689751186,2008-03,total return
expanding_primary,2005-03-31,3,sector_Other,21.487206041022322,9.905829459734505,2008-03,total return
expanding_primary,2005-03-31,3,Gold_spot_price,123.04147465437777,101.77892861849416,2008-03,spot price (monthly-average marks)
