decision_date,expanding_primary,fixed_economic_scale,full_sample_diagnostic,omit_valuation_sensitivity
1967-09-30,27.24667569655571,0.7946793330836955,24.932288360565117,29.249388495382767
1967-10-31,32.58924075060354,0.8125200820678788,26.853314992003465,35.159361635582606
1967-11-30,27.82045659778111,0.8050724220371385,26.017654729748042,29.79001915693958
1967-12-31,22.715498159517086,0.7725608455988038,21.681999264421243,24.827705438631845
1968-01-31,31.157716057217403,0.8088416088439239,25.52893957434199,34.076821110849835
1968-02-29,25.93015096562202,0.7814531646792563,22.37556331973445,28.32012765325229
1968-03-31,27.82838612401425,0.8086696881574498,24.84613305240215,30.47349085062871
1968-04-30,33.56414284364682,0.8460671623702447,27.440003507720732,36.75168882552439
1968-05-31,36.791327387622964,0.8457636113236199,28.188453648392073,40.280362936160245
1968-06-30,41.948319930101306,0.9511220173278184,34.268739148555994,42.417126592650696
1968-07-31,44.634825441277684,0.9718572785602877,35.42387249855519,45.52607053157166
1968-08-31,41.44999605598849,0.9632769975217688,34.05065723459789,41.68842071021329
1968-09-30,41.66566892636814,0.884076494311725,30.8412897469786,45.47155843207937
1968-10-31,43.46809584118793,0.9122262887615936,32.37369131329517,47.43269722647172
1968-11-30,36.972661124596435,0.8818415435439958,29.59333630651893,40.25960279083426
1968-12-31,42.07249913575786,0.8955195719475302,31.715511369098376,45.76728608046034
1969-01-31,39.49940247241687,0.8862835996188283,30.706747746471642,42.89837800344185
1969-02-28,34.81112526624437,0.9114241785130625,30.877753168177374,37.6779828545409
1969-03-31,27.256868259394544,0.8550680435718562,27.63743182600625,29.85840318523393
1969-04-30,27.823961487410624,0.8703458660558857,27.261159618573835,30.478575439273946
1969-05-31,29.777417300715623,0.8756839621954737,27.58056357897857,32.61565581050151
1969-06-30,34.04597279245485,0.854974660145033,26.28788006567534,37.287962345003464
1969-07-31,32.46249466815549,0.8787117177632567,27.941320298363856,35.546991683896984
1969-08-31,37.301660596768734,0.9498987099553404,31.59524801200757,40.84324246424414
1969-09-30,44.121171559833925,0.9955319130918604,36.02896271646854,47.87480457022728
1969-10-31,43.92322032100434,0.9701196837727666,35.82429104149773,47.62644009076229
1969-11-30,43.06739530482843,0.9550174072331081,34.55184262176791,46.648468829324614
1969-12-31,46.554265512694634,0.9649192404308314,34.4994714165852,47.93561426484786
1970-01-31,48.495512129540636,0.9905190303723544,36.638568849939226,50.14087493157183
1970-02-28,47.62514632412024,1.0114178749532714,36.94823809940207,49.07742648926907
1970-03-31,48.15891263617071,0.9908656246277845,34.454108204687856,47.55664093531066
