specification,horizon_years,return_basis,asset,n,median,mean,minimum,maximum,negative_pct
original_expanding_recomputed,3,nominal,Hlth minus MKT,8,2.78359636,2.66199194,-24.15234272,25.15477594,50
original_expanding_recomputed,3,nominal,Manuf minus MKT,8,-3.954116294,-4.949994628,-30.93363147,16.73256866,62.5
original_expanding_recomputed,3,nominal,Money minus MKT,8,9.163242482,5.374995044,-31.04928878,29.14663361,25
original_expanding_recomputed,3,nominal,NoDur minus MKT,8,3.282716369,2.037342874,-33.64978346,25.33549079,50
original_expanding_recomputed,3,nominal,Other minus MKT,8,-5.307265311,-8.195313666,-52.5220537,32.61858595,87.5
original_expanding_recomputed,3,nominal,Shops minus MKT,8,9.533117785,8.799318593,-8.049985112,26.68356632,37.5
original_expanding_recomputed,3,nominal,Telcm minus MKT,8,-0.4122241097,-4.121806409,-48.36056274,33.44689562,50
original_expanding_recomputed,3,nominal,Utils minus MKT,8,-1.571206796,-8.285113868,-51.66926537,9.941942554,50
original_expanding_recomputed,3,real,MKT,8,2.545805678,9.234165408,-24.34090348,78.01953604,50
original_expanding_recomputed,3,real,CASH,8,-1.256776857,-0.4921747823,-6.043960231,9.132401356,62.5
original_expanding_recomputed,3,real,NoDur,8,10.17590431,11.23895257,-24.4929498,46.35155525,25
original_expanding_recomputed,3,real,Durbl,8,-12.09980045,1.398661685,-24.49369365,74.34491815,62.5
original_expanding_recomputed,3,real,Manuf,8,5.55822784,5.003675015,-21.81012929,48.90773958,37.5
original_expanding_recomputed,3,real,Enrgy,8,1.161733748,14.7942261,-29.33430173,86.59789775,50
original_expanding_recomputed,3,real,Chems,8,1.219926829,6.551844518,-12.12388703,42.85340319,50
original_expanding_recomputed,3,real,BusEq,8,-4.536465116,13.37179008,-30.60149764,127.1154014,50
original_expanding_recomputed,3,real,Telcm,8,-3.992173952,5.562781767,-38.4053628,109.4965781,62.5
original_expanding_recomputed,3,real,Utils,8,-1.651917473,1.788240325,-18.92382332,29.39333002,50
original_expanding_recomputed,3,real,Shops,8,8.264101249,17.67540888,-30.53319972,99.54895041,25
original_expanding_recomputed,3,real,Hlth,8,2.21573457,11.97028981,-42.91962865,100.4731414,50
original_expanding_recomputed,3,real,Money,8,15.21184553,13.94421173,-48.91908604,91.34663298,25
original_expanding_recomputed,3,real,Other,8,-2.211326963,0.8951888604,-28.17928079,41.74907902,50
original_expanding_recomputed,3,real,BusEq minus MKT,8,1.432417115,4.137624673,-19.81033039,49.09586539,50
original_expanding_recomputed,3,real,Chems minus MKT,8,-5.319121124,-2.682320889,-35.16613285,26.6417731,50
original_expanding_recomputed,3,real,Durbl minus MKT,8,-1.913704029,-7.835503722,-32.77722578,16.19632991,62.5
original_expanding_recomputed,3,real,Enrgy minus MKT,8,6.654733331,5.560060691,-58.48753944,77.65588214,37.5
original_expanding_recomputed,3,real,Hlth minus MKT,8,1.922236539,2.736124405,-18.57872517,22.45360534,50
original_expanding_recomputed,3,real,Manuf minus MKT,8,-3.610243156,-4.230490393,-29.11179647,15.77360516,62.5
original_expanding_recomputed,3,real,Money minus MKT,8,7.582507086,4.710046325,-29.65371159,24.89913424,25
original_expanding_recomputed,3,real,NoDur minus MKT,8,3.207321491,2.00478716,-31.66798079,24.19673257,50
original_expanding_recomputed,3,real,Other minus MKT,8,-5.069535921,-8.338976547,-49.42876942,23.43369505,87.5
original_expanding_recomputed,3,real,Shops minus MKT,8,9.09607122,8.441243477,-6.19229624,22.7950064,37.5
original_expanding_recomputed,3,real,Telcm minus MKT,8,-0.4436471747,-3.67138364,-41.9345729,31.47704202,50
original_expanding_recomputed,3,real,Utils minus MKT,8,-1.576252585,-7.445925083,-48.62620602,8.493116754,50
original_expanding_recomputed,5,nominal,MKT,8,48.10414663,54.55885335,-0.07251224713,144.6170361,12.5
original_expanding_recomputed,5,nominal,CASH,8,24.03092444,24.91724289,2.488234819,69.50889788,0
original_expanding_recomputed,5,nominal,NoDur,8,40.63012362,57.10915632,0.7833865328,184.1010217,0
original_expanding_recomputed,5,nominal,Durbl,8,16.63641053,33.59723382,-15.67243092,150.3550857,37.5
original_expanding_recomputed,5,nominal,Manuf,8,52.75618879,52.32292338,-7.803655267,106.1483247,25
original_expanding_recomputed,5,nominal,Enrgy,8,72.03637308,74.59291455,-28.91740345,185.6190104,12.5
original_expanding_recomputed,5,nominal,Chems,8,41.69569513,39.74457264,-11.95268633,109.0000368,25
original_expanding_recomputed,5,nominal,BusEq,8,57.35917543,61.42999531,-12.7849974,142.6959183,25
original_expanding_recomputed,5,nominal,Telcm,8,37.53808373,36.21996557,-29.38604539,95.88165422,25
original_expanding_recomputed,5,nominal,Utils,8,42.29220829,55.59938091,16.22821357,123.3937234,0
original_expanding_recomputed,5,nominal,Shops,8,71.07036217,78.92256385,-21.64564595,224.7593891,12.5
original_expanding_recomputed,5,nominal,Hlth,8,48.20910729,63.25203873,-32.488557,156.309975,25
original_expanding_recomputed,5,nominal,Money,8,72.95089526,67.00939796,-37.50879394,163.0242731,25
original_expanding_recomputed,5,nominal,Other,8,25.80832891,38.55946952,-13.34866852,169.9039085,25
original_expanding_recomputed,5,nominal,BusEq minus MKT,8,1.583343996,6.871141954,-33.57454537,47.41757436,50
original_expanding_recomputed,5,nominal,Chems minus MKT,8,-18.15330883,-14.81428072,-74.67769582,34.15059733,62.5
original_expanding_recomputed,5,nominal,Durbl minus MKT,8,-15.89516878,-20.96161953,-60.84775452,5.738049545,75
