window,specification,sample,month,cape_pct,credit_pct
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1979-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1980-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1981-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1982-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-06,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-07,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-08,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-09,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-10,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-11,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1983-12,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-01,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-02,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-03,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-04,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-05,,
matched_screen,unconditional_same_eligible_months,monthly_pool,1984-06,,
