specification,horizon_years,return_basis,asset,window,sample,n,median,mean,minimum,maximum,negative_pct
unconditional_same_eligible_months,3,real,Telcm minus MKT,matched_screen,monthly_pool,684,-1.065999874,-0.9914179753,-59.47330373,85.69581016,51.31578947
unconditional_same_eligible_months,3,real,Utils minus MKT,matched_screen,monthly_pool,684,-3.762537973,-4.161001206,-77.51344171,53.48689634,58.33333333
unconditional_same_eligible_months,5,nominal,MKT,matched_screen,monthly_pool,684,74.16982251,73.0589045,-27.16814808,247.3718174,8.771929825
unconditional_same_eligible_months,5,nominal,CASH,matched_screen,monthly_pool,684,26.56900353,25.73788773,0.1100550165,69.54209212,0
unconditional_same_eligible_months,5,nominal,NoDur,matched_screen,monthly_pool,684,63.72178106,85.29722671,-29.85082203,382.3122987,4.239766082
unconditional_same_eligible_months,5,nominal,Durbl,matched_screen,monthly_pool,684,54.25277202,71.9246792,-68.54218629,418.654603,14.18128655
unconditional_same_eligible_months,5,nominal,Manuf,matched_screen,monthly_pool,684,69.63469273,71.90589116,-25.54331879,272.805233,5.116959064
unconditional_same_eligible_months,5,nominal,Enrgy,matched_screen,monthly_pool,684,64.46974668,74.90606534,-54.45604938,340.6432097,7.456140351
unconditional_same_eligible_months,5,nominal,Chems,matched_screen,monthly_pool,684,57.66595688,67.91699108,-12.09116202,308.8663135,4.093567251
unconditional_same_eligible_months,5,nominal,BusEq,matched_screen,monthly_pool,684,63.34783731,86.69871056,-64.95945657,605.2143517,14.76608187
unconditional_same_eligible_months,5,nominal,Telcm,matched_screen,monthly_pool,684,61.37274258,70.58962508,-58.36186582,297.5694761,14.32748538
unconditional_same_eligible_months,5,nominal,Utils,matched_screen,monthly_pool,684,58.54957347,63.84559522,-24.32675115,217.4857127,4.678362573
unconditional_same_eligible_months,5,nominal,Shops,matched_screen,monthly_pool,684,80.94520741,84.44026687,-33.58889013,326.3300507,6.432748538
unconditional_same_eligible_months,5,nominal,Hlth,matched_screen,monthly_pool,684,81.63440446,85.17965653,-32.72759685,329.3914556,7.602339181
unconditional_same_eligible_months,5,nominal,Money,matched_screen,monthly_pool,684,79.15089959,81.97856709,-61.40624491,264.2763284,15.35087719
unconditional_same_eligible_months,5,nominal,Other,matched_screen,monthly_pool,684,58.30786336,57.54893059,-50.45574178,243.9960313,18.56725146
unconditional_same_eligible_months,5,nominal,BusEq minus MKT,matched_screen,monthly_pool,684,1.412084479,13.63980605,-121.0865927,391.5923364,47.51461988
unconditional_same_eligible_months,5,nominal,Chems minus MKT,matched_screen,monthly_pool,684,-1.100377163,-5.141913423,-142.7367898,73.8198965,51.31578947
unconditional_same_eligible_months,5,nominal,Durbl minus MKT,matched_screen,monthly_pool,684,-10.04898591,-1.134225304,-125.0828115,273.6793388,66.52046784
unconditional_same_eligible_months,5,nominal,Enrgy minus MKT,matched_screen,monthly_pool,684,2.685138933,1.847160837,-145.3779738,222.1523819,47.95321637
unconditional_same_eligible_months,5,nominal,Hlth minus MKT,matched_screen,monthly_pool,684,8.397898144,12.12075203,-80.11259628,137.6113473,37.42690058
unconditional_same_eligible_months,5,nominal,Manuf minus MKT,matched_screen,monthly_pool,684,-4.745580307,-1.153013341,-73.10315485,80.99217691,57.60233918
unconditional_same_eligible_months,5,nominal,Money minus MKT,matched_screen,monthly_pool,684,8.528515662,8.919662587,-60.77317208,130.5241089,41.95906433
unconditional_same_eligible_months,5,nominal,NoDur minus MKT,matched_screen,monthly_pool,684,7.756522934,12.23832221,-139.9671059,163.3890302,41.37426901
unconditional_same_eligible_months,5,nominal,Other minus MKT,matched_screen,monthly_pool,684,-15.89707083,-15.50997391,-144.2507661,82.48761813,78.21637427
unconditional_same_eligible_months,5,nominal,Shops minus MKT,matched_screen,monthly_pool,684,10.37222246,11.38136237,-81.40646309,127.2231654,33.77192982
unconditional_same_eligible_months,5,nominal,Telcm minus MKT,matched_screen,monthly_pool,684,-6.923472697,-2.469279427,-106.9671545,144.2819575,55.84795322
unconditional_same_eligible_months,5,nominal,Utils minus MKT,matched_screen,monthly_pool,684,-9.282700721,-9.213309282,-167.8477189,90.45870263,58.91812865
unconditional_same_eligible_months,5,real,MKT,matched_screen,monthly_pool,684,42.88371099,43.51288277,-46.59957103,201.2730784,23.5380117
unconditional_same_eligible_months,5,real,CASH,matched_screen,monthly_pool,684,1.389359545,2.873833022,-13.00601621,30.91849884,47.22222222
unconditional_same_eligible_months,5,real,NoDur,matched_screen,monthly_pool,684,36.49702802,53.28007507,-48.5665118,313.2289027,12.71929825
unconditional_same_eligible_months,5,real,Durbl,matched_screen,monthly_pool,684,26.34097573,42.67186165,-72.38817226,360.1727259,31.87134503
