spec,gap_months,cutoff,rank,date,horizon,asset,real_return
original_full_sample,24,2023-12-01,11,1950-10-01,3,CASH,-4.278303502133629
original_full_sample,24,2023-12-01,11,1950-10-01,3,GOLD,
original_full_sample,24,2023-12-01,11,1950-10-01,3,Enrgy,52.933846650350816
original_full_sample,24,2023-12-01,11,1950-10-01,3,BusEq,53.3856890843607
original_full_sample,24,2023-12-01,11,1950-10-01,3,Telcm,17.20922857627687
original_full_sample,24,2023-12-01,11,1950-10-01,5,MKT,137.01057864777394
original_full_sample,24,2023-12-01,11,1950-10-01,5,CASH,-1.7079404839233536
original_full_sample,24,2023-12-01,11,1950-10-01,5,GOLD,
original_full_sample,24,2023-12-01,11,1950-10-01,5,Enrgy,180.25532726749861
original_full_sample,24,2023-12-01,11,1950-10-01,5,BusEq,181.40563868053226
original_full_sample,24,2023-12-01,11,1950-10-01,5,Telcm,59.562570970737674
original_full_sample,24,2023-12-01,12,2014-07-01,1,MKT,11.206016761981473
original_full_sample,24,2023-12-01,12,2014-07-01,1,CASH,-0.16760946993504833
original_full_sample,24,2023-12-01,12,2014-07-01,1,GOLD,-14.10302325101963
original_full_sample,24,2023-12-01,12,2014-07-01,1,Enrgy,-28.929203811496805
original_full_sample,24,2023-12-01,12,2014-07-01,1,BusEq,11.269660281481265
original_full_sample,24,2023-12-01,12,2014-07-01,1,Telcm,7.285548711668488
original_full_sample,24,2023-12-01,12,2014-07-01,3,MKT,32.42381238786567
original_full_sample,24,2023-12-01,12,2014-07-01,3,CASH,-2.1154342615187116
original_full_sample,24,2023-12-01,12,2014-07-01,3,GOLD,-8.165419828244202
original_full_sample,24,2023-12-01,12,2014-07-01,3,Enrgy,-28.111406057664247
original_full_sample,24,2023-12-01,12,2014-07-01,3,BusEq,49.601732085011285
original_full_sample,24,2023-12-01,12,2014-07-01,3,Telcm,23.815426501918637
original_full_sample,24,2023-12-01,12,2014-07-01,5,MKT,58.70441541370086
original_full_sample,24,2023-12-01,12,2014-07-01,5,CASH,-3.189167361896794
original_full_sample,24,2023-12-01,12,2014-07-01,5,GOLD,0.08442657844303092
original_full_sample,24,2023-12-01,12,2014-07-01,5,Enrgy,-30.348872357136724
original_full_sample,24,2023-12-01,12,2014-07-01,5,BusEq,107.3008223222173
original_full_sample,24,2023-12-01,12,2014-07-01,5,Telcm,35.12900037997899
original_full_sample,60,2021-07-01,1,2021-07-01,1,MKT,-15.709361252900788
original_full_sample,60,2021-07-01,1,2021-07-01,1,CASH,-7.69147692254426
original_full_sample,60,2021-07-01,1,2021-07-01,1,GOLD,-11.679717882271124
original_full_sample,60,2021-07-01,1,2021-07-01,1,Enrgy,59.808125723301856
original_full_sample,60,2021-07-01,1,2021-07-01,1,BusEq,-19.8966981956057
original_full_sample,60,2021-07-01,1,2021-07-01,1,Telcm,-29.063407989523917
original_full_sample,60,2021-07-01,1,2021-07-01,3,MKT,9.791015774156953
original_full_sample,60,2021-07-01,1,2021-07-01,3,CASH,-4.083665750141008
original_full_sample,60,2021-07-01,1,2021-07-01,3,GOLD,15.905228608796996
original_full_sample,60,2021-07-01,1,2021-07-01,3,Enrgy,88.05208091316825
original_full_sample,60,2021-07-01,1,2021-07-01,3,BusEq,23.01030224676164
original_full_sample,60,2021-07-01,1,2021-07-01,3,Telcm,-32.470359039213946
original_full_sample,60,2021-07-01,1,2021-07-01,5,MKT,43.49274989335994
original_full_sample,60,2021-07-01,1,2021-07-01,5,CASH,-1.8232641032454033
original_full_sample,60,2021-07-01,1,2021-07-01,5,GOLD,85.48171307064696
original_full_sample,60,2021-07-01,1,2021-07-01,5,Enrgy,135.16475036194612
original_full_sample,60,2021-07-01,1,2021-07-01,5,BusEq,78.88496279413482
original_full_sample,60,2021-07-01,1,2021-07-01,5,Telcm,-29.14599647937104
original_full_sample,60,2021-07-01,2,2007-10-01,1,MKT,-38.208969054362804
original_full_sample,60,2021-07-01,2,2007-10-01,1,CASH,-1.418707900106253
original_full_sample,60,2021-07-01,2,2007-10-01,1,GOLD,3.1216556016178787
original_full_sample,60,2021-07-01,2,2007-10-01,1,Enrgy,-31.385050310732886
original_full_sample,60,2021-07-01,2,2007-10-01,1,BusEq,-42.42834226268756
original_full_sample,60,2021-07-01,2,2007-10-01,1,Telcm,-41.90408310541919
original_full_sample,60,2021-07-01,2,2007-10-01,3,MKT,-19.242032101489535
original_full_sample,60,2021-07-01,2,2007-10-01,3,CASH,-2.187875888970381
original_full_sample,60,2021-07-01,2,2007-10-01,3,GOLD,69.80814353640743
original_full_sample,60,2021-07-01,2,2007-10-01,3,Enrgy,-21.15827897652419
original_full_sample,60,2021-07-01,2,2007-10-01,3,BusEq,-10.113965333508768
original_full_sample,60,2021-07-01,2,2007-10-01,3,Telcm,-14.02964559564156
original_full_sample,60,2021-07-01,2,2007-10-01,5,MKT,-5.918353051515124
original_full_sample,60,2021-07-01,2,2007-10-01,5,CASH,-7.4274088571005255
original_full_sample,60,2021-07-01,2,2007-10-01,5,GOLD,109.00388556089835
original_full_sample,60,2021-07-01,2,2007-10-01,5,Enrgy,-6.3828033932234245
original_full_sample,60,2021-07-01,2,2007-10-01,5,BusEq,-1.3227877973180369
original_full_sample,60,2021-07-01,2,2007-10-01,5,Telcm,15.468415919422029
original_full_sample,60,2021-07-01,3,1946-06-01,1,MKT,-29.470863624789267
