date,HHI12,top_industry_weight,BusEq_weight,top_industry,effective_industries
1930-01-01,0.1135249019285084,0.17396158237807846,0.069684757505546,Manuf,8.808640069380933
1930-02-01,0.11317531261634779,0.17467565672672616,0.07311352733605038,Manuf,8.835849240283462
1930-03-01,0.1134158416380789,0.17458060909563938,0.07654709577226526,Manuf,8.817110427933853
1930-04-01,0.11295228114426553,0.17171980402326312,0.07677532593949522,Manuf,8.853296187287926
1930-05-01,0.1115130190927815,0.16133717958731578,0.08001752935669254,Manuf,8.96756278446713
1930-06-01,0.11122682146693022,0.15976018229244873,0.07762142686169433,Manuf,8.990637211522927
1930-07-01,0.11131926866132182,0.1615988867823104,0.0718645454555728,Manuf,8.983170766620862
1930-08-01,0.11082914421396206,0.16131536385408188,0.07191435695317636,Manuf,9.022897425513296
1930-09-01,0.10991746869824426,0.15894344068914185,0.07332631675617066,Manuf,9.097734981009195
1930-10-01,0.11052789238425184,0.15667337558953406,0.06767375609560715,Other,9.047489990340948
1930-11-01,0.11147697157034517,0.1588617168571631,0.06099466665014266,Other,8.970462562027631
1930-12-01,0.1104647409410208,0.15824628650840664,0.06081934129190018,Manuf,9.052662338056981
1931-01-01,0.11038093473971977,0.15375861068728713,0.058574758032874624,Manuf,9.059535529011582
1931-02-01,0.11057375989657141,0.16043269149997916,0.058019930183244015,Other,9.043736967390645
1931-03-01,0.10927515411162629,0.15443215983786202,0.06490546801205452,Manuf,9.151211070162246
1931-04-01,0.10909766579072858,0.152872966407985,0.06370280826443465,Manuf,9.166098951357975
1931-05-01,0.10855086456059695,0.15180469906192562,0.060547816957484346,Utils,9.212271169353649
1931-06-01,0.10732239553294806,0.1553737256573477,0.061360755061597716,Utils,9.317719708306354
