quarter,profit_share_pct
1991Q3,5.308223399625231
1991Q4,5.291018973460142
1992Q1,5.484447679763738
1992Q2,5.425465281296812
1992Q3,5.220385886787477
1992Q4,5.308493604735838
1993Q1,5.165170038185834
1993Q2,5.338820042300276
1993Q3,5.609510355708391
1993Q4,5.7818527010846426
1994Q1,6.1370342450698825
1994Q2,6.242173411061868
1994Q3,6.424432978792333
1994Q4,6.514101131975049
1995Q1,6.4203595474728505
1995Q2,6.746935792218359
1995Q3,7.0143854225982265
1995Q4,7.1475310791028885
1996Q1,7.407299616647103
1996Q2,7.279505131435457
1996Q3,7.2676466363512935
1996Q4,7.387480839359831
1997Q1,7.634549075622514
1997Q2,7.728894536511782
1997Q3,7.888871791562635
1997Q4,7.759105817572556
1998Q1,6.937521992944213
1998Q2,6.874935268173435
1998Q3,6.79399638004069
1998Q4,6.477142058777548
1999Q1,6.906342564485285
1999Q2,6.795798119084084
1999Q3,6.489442247486379
1999Q4,6.378648687714321
2000Q1,6.025277092121627
2000Q2,5.815303306491591
2000Q3,5.808067616674087
2000Q4,5.500010349046507
2001Q1,5.667945626032511
2001Q2,5.900358524389093
2001Q3,5.75933051645496
2001Q4,5.993828599409126
2002Q1,6.70210970464135
2002Q2,6.868902388619569
2002Q3,7.029817808383799
2002Q4,7.558143687169645
2003Q1,7.224473603266975
2003Q2,7.492349793145195
2003Q3,7.607773681428941
2003Q4,7.801297527724984
2004Q1,8.530947468462768
2004Q2,8.500443538516851
2004Q3,8.70662552344285
2004Q4,8.381145241072756
2005Q1,8.650342758829089
2005Q2,8.767957608714493
2005Q3,8.792531973403825
2005Q4,9.067295877487314
2006Q1,9.224415331535184
2006Q2,9.151124839894415
2006Q3,9.286672970835003
2006Q4,8.993992689229579
2007Q1,8.221698745980751
2007Q2,8.623218504102393
2007Q3,8.33023382056049
2007Q4,8.1017077880359
2008Q1,7.862135874534169
2008Q2,7.687763933903957
2008Q3,7.789798495858682
2008Q4,6.154874974748786
2009Q1,7.7994708854650945
2009Q2,7.833575639812879
2009Q3,8.901270008295452
2009Q4,9.204962662227638
2010Q1,9.67377397709794
2010Q2,9.499123275648051
2010Q3,10.376283045782394
2010Q4,10.362289390216803
2011Q1,9.347854352240908
2011Q2,10.012676169412142
2011Q3,10.326585155115648
2011Q4,10.844596089484462
2012Q1,10.944784008518367
2012Q2,10.67070851289696
2012Q3,10.449466685368174
2012Q4,10.347866275519522
2013Q1,10.20912244569064
2013Q2,10.182060313520122
2013Q3,10.147790724436556
2013Q4,10.18780865702859
2014Q1,9.609647501316744
2014Q2,10.284962623529353
2014Q3,10.609968598469981
2014Q4,10.497597738375315
2015Q1,10.11225990225941
2015Q2,9.844755277195835
2015Q3,9.67462875291564
2015Q4,9.229619503234503
2016Q1,9.594528923320624
2016Q2,9.262273415854954
2016Q3,9.28818890785983
2016Q4,9.46976850320799
2017Q1,9.913654940507522
2017Q2,9.75846410677947
2017Q3,9.785409185533952
2017Q4,9.867022593302979
2018Q1,9.978088455189113
2018Q2,10.062498688104785
2018Q3,9.962132303270439
2018Q4,10.037467013247573
2019Q1,10.105074935106765
2019Q2,10.097884198000761
2019Q3,10.152671358530078
2019Q4,10.01927806577576
2020Q1,9.11726495751644
2020Q2,9.050739865452408
2020Q3,11.122159031353819
2020Q4,9.953076810237258
2021Q1,10.872886467798844
2021Q2,11.456395930830436
2021Q3,11.16842495066899
2021Q4,10.833837089338106
2022Q1,10.25016804719555
2022Q2,10.734436624434695
2022Q3,10.920332632855393
2022Q4,10.488595773693401
2023Q1,10.71485640391315
2023Q2,10.64891443188181
2023Q3,10.815881234041319
2023Q4,11.02162758179306
2024Q1,10.540264143007978
2024Q2,10.672118242934
2024Q3,10.431461946706902
2024Q4,10.96596493526846
2025Q1,10.826269110964331
2025Q2,10.691576376605592
2025Q3,10.970638105111941
2025Q4,11.474790409911666
2026Q1,11.37183746760351
2026Q2,12.071159985945975
