indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
claims_rise_20pct,12,equity_entry_loss_20,1981-10,training_pre2000,22.139764996907864,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1984-10,training_pre2000,23.58142962417096,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1989-10,training_pre2000,26.56794425087108,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,1990-10,training_pre2000,26.280623608017816,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,2000-11,holdout_2000plus,25.53990610328638,1,1,2001-09,10.0
claims_rise_20pct,12,equity_entry_loss_20,2005-09,holdout_2000plus,22.774659182036892,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,2008-03,holdout_2000plus,21.85430463576159,1,1,2008-10,7.0
claims_rise_20pct,12,equity_entry_loss_20,2020-03,holdout_2000plus,1058.9330024813896,1,0,,
claims_rise_20pct,12,equity_entry_loss_20,2023-06,holdout_2000plus,26.96202531645571,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1969-12,training_pre2000,22.76536312849162,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1973-12,training_pre2000,31.674208144796378,1,1,1974-08,8.0
claims_rise_20pct,12,equity_peak_drawdown_20,1977-02,training_pre2000,29.899135446685875,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1979-04,training_pre2000,30.352941176470583,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1981-10,training_pre2000,22.139764996907864,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1984-10,training_pre2000,23.58142962417096,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1989-10,training_pre2000,26.56794425087108,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,1990-10,training_pre2000,26.280623608017816,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,2000-11,holdout_2000plus,25.53990610328638,1,1,2001-09,10.0
claims_rise_20pct,12,equity_peak_drawdown_20,2005-09,holdout_2000plus,22.774659182036892,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,2008-03,holdout_2000plus,21.85430463576159,1,1,2008-10,7.0
claims_rise_20pct,12,equity_peak_drawdown_20,2020-03,holdout_2000plus,1058.9330024813896,1,0,,
claims_rise_20pct,12,equity_peak_drawdown_20,2023-06,holdout_2000plus,26.96202531645571,1,0,,
claims_rise_20pct,12,inflation_onset_400,2000-11,holdout_2000plus,25.53990610328638,1,0,,
claims_rise_20pct,12,inflation_onset_400,2008-03,holdout_2000plus,21.85430463576159,1,1,2008-05,2.0
claims_rise_20pct,12,inflation_onset_400,2020-03,holdout_2000plus,1058.9330024813896,1,0,,
claims_rise_20pct,12,inflation_onset_400,2023-06,holdout_2000plus,26.96202531645571,1,0,,
claims_rise_20pct,12,credit_onset_300,1989-10,training_pre2000,26.56794425087108,1,0,,
claims_rise_20pct,12,credit_onset_300,1990-10,training_pre2000,26.280623608017816,1,0,,
claims_rise_20pct,12,credit_onset_300,2000-11,holdout_2000plus,25.53990610328638,1,1,2001-03,4.0
claims_rise_20pct,12,credit_onset_300,2005-09,holdout_2000plus,22.774659182036892,1,0,,
claims_rise_20pct,12,credit_onset_300,2023-06,holdout_2000plus,26.96202531645571,1,0,,
sahm_050,12,recession_onset,1969-11,training_pre2000,0.5,1,1,1970-01,2.0
sahm_050,12,recession_onset,1976-12,training_pre2000,0.5,1,0,,
sahm_050,12,recession_onset,2020-05,holdout_2000plus,4.0,1,0,,
sahm_050,12,recession_onset,2024-08,holdout_2000plus,0.53,1,0,,
sahm_050,12,recession_present_or_onset,1960-09,training_pre2000,0.53,1,1,1960-09,0.0
sahm_050,12,recession_present_or_onset,1969-11,training_pre2000,0.5,1,1,1970-01,2.0
sahm_050,12,recession_present_or_onset,1974-04,training_pre2000,0.5,1,1,1974-04,0.0
sahm_050,12,recession_present_or_onset,1976-12,training_pre2000,0.5,1,0,,
sahm_050,12,recession_present_or_onset,1980-05,training_pre2000,0.67,1,1,1980-05,0.0
sahm_050,12,recession_present_or_onset,1981-12,training_pre2000,0.8,1,1,1981-12,0.0
sahm_050,12,recession_present_or_onset,1990-12,training_pre2000,0.5,1,1,1990-12,0.0
sahm_050,12,recession_present_or_onset,2001-07,holdout_2000plus,0.53,1,1,2001-07,0.0
