indicator,horizon_months,event,split,eligible_months,first_signal_month,last_signal_month,unconditional_event_probability,nonalarm_event_probability,n_alarm_episodes,episode_hits,episode_false_alarms,episode_hit_rate,episode_false_alarm_fraction,false_alarm_wilson_95_low,false_alarm_wilson_95_high,lead_months_median,lead_months_min,lead_months_max,classical_fp_months,classical_tn_months,classical_fpr,classical_tp_months,classical_fn_months,monthly_sensitivity,note
claims_rise_20pct,12,inflation_onset_400,training_pre2000,158,1968-01,1998-12,0.2848101265822785,0.2848101265822785,0,0,0,,,,,,,,0,113,0.0,0,45,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,inflation_onset_400,holdout_2000plus,257,2000-01,2024-09,0.17120622568093385,0.14678899082568808,4,1,3,0.25,0.75,0.3006360524426366,0.9544139373553637,2.0,2.0,2.0,27,186,0.1267605633802817,12,32,0.2727272727272727,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_onset,all,607,1968-01,2025-08,0.15815485996705106,0.13854351687388988,8,4,4,0.5,0.5,0.21521252682444186,0.7847874731755582,7.5,1.0,10.0,26,485,0.050880626223091974,18,78,0.1875,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_onset,training_pre2000,315,1968-01,1998-12,0.19047619047619047,0.16151202749140894,5,3,2,0.6,0.4,0.1176182311592533,0.769280067791163,10.0,1.0,10.0,11,244,0.043137254901960784,13,47,0.21666666666666667,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_onset,holdout_2000plus,280,2000-01,2025-08,0.12857142857142856,0.11923076923076924,3,1,2,0.3333333333333333,0.6666666666666666,0.2076549551264879,0.9385096847238394,5.0,5.0,5.0,15,229,0.06147540983606557,5,31,0.1388888888888889,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_present_or_onset,all,692,1968-01,2025-08,0.2615606936416185,0.1520979020979021,13,9,4,0.6923076923076923,0.3076923076923077,0.12680497161618087,0.5763111218666236,0.0,0.0,10.0,26,485,0.050880626223091974,94,87,0.5193370165745856,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_present_or_onset,training_pre2000,372,1968-01,1998-12,0.31451612903225806,0.17567567567567569,8,6,2,0.75,0.25,0.07147768885802763,0.5907301208974108,0.5,0.0,10.0,11,244,0.043137254901960784,65,52,0.5555555555555556,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
claims_rise_20pct,12,recession_present_or_onset,holdout_2000plus,308,2000-01,2025-08,0.2077922077922078,0.13257575757575757,5,3,2,0.6,0.4,0.1176182311592533,0.769280067791163,0.0,0.0,5.0,15,229,0.06147540983606557,29,35,0.453125,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,credit_onset_300,all,413,1986-01,2025-08,0.20581113801452786,0.1945945945945946,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,7.0,6.0,8.0,30,298,0.09146341463414634,13,72,0.15294117647058825,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,credit_onset_300,training_pre2000,155,1986-01,1998-12,0.04516129032258064,0.04516129032258064,0,0,0,,,,,,,,0,148,0.0,0,7,0.0,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
curve_inverted,12,credit_onset_300,holdout_2000plus,246,2000-01,2025-08,0.3170731707317073,0.32019704433497537,4,2,2,0.5,0.5,0.15003570882017148,0.8499642911798285,7.0,6.0,8.0,30,138,0.17857142857142858,13,65,0.16666666666666666,Revised-history pseudo-OOS; overlapping monthly windows. Episode intervals assume independence only approximately.
