signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1983-05,0.0,1.27,2.1899999999999995,,,-0.091,4.0000000000000036,4.0000000000000036,-2.6217732884399547
1983-06,0.0,0.97,2.1900000000000013,,,-0.188,3.44108446298228,3.44108446298228,-3.470844188076816
1983-07,0.0,0.7,2.0600000000000005,,,-0.172,2.4742268041237248,2.4742268041237248,-4.708093637865218
1983-08,7.725587144622992,0.3,2.3000000000000007,,,-0.086,2.358974358974364,2.358974358974364,-4.198402690205971
1983-09,1.0506798516687343,-0.07,2.51,,,-0.083,2.456499488229258,2.456499488229258,-3.508793353419337
1983-10,0.0,-0.23,2.6500000000000004,,,-0.081,2.763561924257929,2.763561924257929,-2.1773618136583073
1983-11,0.0,-0.23,2.8999999999999986,,,0.01,2.752293577981657,2.752293577981657,-2.2798263363652316
1983-12,0.47554347826086474,-0.37,2.9299999999999997,,,0.1,3.1632653061224536,3.1632653061224536,-1.3143466341760668
1984-01,0.0,-0.33,2.83,,,0.059,3.7871033776867957,3.7871033776867957,-0.03861394431108334
1984-02,0.0,-0.27,2.7699999999999996,,,-0.096,4.290091930541351,4.290091930541351,0.5824648118972764
1984-03,1.8422991893883633,-0.2,2.75,,,-0.194,4.693877551020398,4.693877551020398,1.209189061052074
1984-04,8.843036109064117,-0.13,2.8000000000000007,,,-0.029,4.892966360856277,4.892966360856277,1.3026812499798313
1984-05,6.190125276344882,-0.07,2.9400000000000013,,,0.381,4.5546558704453455,4.5546558704453455,0.5546558704453419
1984-06,7.000736919675754,-0.1,3.58,,,0.89,4.3346774193548265,4.3346774193548265,0.8935929563725464
1984-07,6.263817243920422,-0.23,3.6900000000000013,,,1.216,4.325955734406439,4.325955734406439,1.8517289302827145
1984-08,14.812085482682381,-0.1,3.24,,,1.015,4.308617234468937,4.308617234468937,1.9496428754945727
1984-09,17.31761238025056,0.0,2.25,,,0.577,4.295704295704317,4.295704295704317,1.8392048074750589
1984-10,23.58142962417096,0.1,2.1500000000000004,,,0.324,4.2828685258964105,4.2828685258964105,1.5193066016384815
1984-11,19.970523212969795,0.07,2.42,,,0.106,4.265873015873023,4.265873015873023,1.5135794378913658
1984-12,12.527634487840821,-0.03,2.960000000000001,,,-0.118,4.154302670623156,4.154302670623156,0.991037364500702
1985-01,9.285187914517312,-0.07,3.4399999999999995,,,-0.281,4.043392504930954,4.043392504930954,0.2562891272441581
1985-02,15.051395007342139,0.03,3.620000000000001,,,-0.387,3.52595494613126,3.52595494613126,-0.7641369844100909
1985-03,7.974594213126318,0.1,3.24,,,-0.349,3.6062378167641462,3.6062378167641462,-1.0876397342562516
1985-04,11.32075471698113,0.13,3.34,,,-0.269,3.790087463556846,3.790087463556846,-1.1028788972994308
1985-05,9.783368273934311,0.1,3.4799999999999995,,,-0.334,3.581800580832528,3.581800580832528,-0.9728552896128173
1985-06,8.807212205270453,0.1,3.369999999999999,,,-0.46,3.5748792270531515,3.5748792270531515,-0.759798192301675
1985-07,3.7722908093278384,0.1,3.21,,,-0.439,3.6644165863066513,3.6644165863066513,-0.6615391480997879
1985-08,8.900876601483487,0.1,3.2300000000000004,,,-0.316,3.458213256484166,3.458213256484166,-0.8504039779847705
